Date,Price,Open,High,Low,Vol.,Change %,,,,Change %,Helper
6/21/2019,"1,375.30","1,381.60","1,386.80","1,374.70",628.00M,-0.46%,,,,0.29%,43
6/20/2019,"1,381.60","1,362.10","1,386.10","1,362.10",433.02M,1.43%,,,,-0.11%,42
6/19/2019,"1,362.10","1,356.20","1,365.20","1,351.80",382.54M,0.44%,,,,1.03%,41
6/18/2019,"1,356.20","1,333.30","1,363.40","1,333.30",454.42M,1.72%,,,,1.13%,40
6/17/2019,"1,333.30","1,331.10","1,339.10","1,329.90",331.96M,0.17%,,,,-0.19%,39
6/14/2019,"1,331.10","1,342.20","1,342.20","1,326.00",,-0.83%,,,,1.34%,38
6/13/2019,"1,342.20","1,339.30","1,347.80","1,338.40",,0.22%,,,,-0.60%,37
6/12/2019,"1,339.30","1,347.00","1,347.00","1,336.40",,-0.58%,,,,0.07%,36
6/11/2019,"1,347.00","1,346.80","1,361.90","1,339.50",,0.02%,,,,1.40%,35
6/10/2019,"1,346.80","1,333.70","1,359.80","1,333.70",,0.98%,,,,0.71%,34
6/7/2019,"1,333.70","1,308.50","1,341.20","1,308.50",,1.93%,,,,-0.08%,33
6/6/2019,"1,308.50","1,294.40","1,311.50","1,291.40",,1.09%,,,,0.37%,32
6/5/2019,"1,294.40","1,276.80","1,297.00","1,276.80",,1.38%,,,,0.48%,31
6/4/2019,"1,276.80","1,236.50","1,277.30","1,236.50",,3.26%,,,,-0.45%,30
6/3/2019,"1,236.50","1,258.60","1,266.90","1,227.90",,-1.76%,,,,-2.36%,29
5/31/2019,"1,258.60","1,279.10","1,279.10","1,257.80",,-1.60%,,,,1.87%,28
5/30/2019,"1,279.10","1,271.40","1,282.00","1,270.90",,0.60%,,,,0.21%,27
5/29/2019,"1,271.40","1,279.10","1,279.10","1,263.40",,-0.60%,,,,0.88%,26
5/28/2019,"1,279.10","1,283.30","1,295.40","1,278.60",,-0.33%,,,,-2.72%,25
5/24/2019,"1,283.30","1,282.70","1,296.40","1,281.90",,0.05%,,,,1.32%,24
5/23/2019,"1,282.70","1,305.30","1,305.30","1,273.40",,-1.73%,,,,2.60%,23
5/22/2019,"1,305.30","1,312.70","1,312.90","1,303.80",,-0.57%,,,,0.60%,22
5/21/2019,"1,312.70","1,297.20","1,316.80","1,297.20",,1.20%,,,,0.88%,21
5/20/2019,"1,297.20","1,320.20","1,320.20","1,290.40",,-1.75%,,,,-0.98%,20
5/17/2019,"1,320.20","1,331.10","1,337.50","1,318.00",,-0.82%,,,,1.35%,19
5/16/2019,"1,331.10","1,318.10","1,340.00","1,317.70",,0.99%,,,,-0.34%,18
5/15/2019,"1,318.10","1,305.30","1,322.40","1,294.60",,0.98%,,,,1.06%,17
5/14/2019,"1,305.30","1,284.70","1,313.20","1,284.70",,1.60%,,,,-0.30%,16
5/13/2019,"1,284.70","1,334.20","1,334.20","1,280.90",,-3.71%,,,,0.49%,15
5/10/2019,"1,334.20","1,331.80","1,340.80","1,303.30",,0.18%,,,,-0.35%,14
5/9/2019,"1,331.80","1,341.00","1,341.00","1,309.20",,-0.68%,,,,1.09%,13
5/8/2019,"1,341.00","1,343.20","1,352.20","1,336.10",,-0.17%,,,,-1.01%,12
5/7/2019,"1,343.20","1,372.30","1,372.30","1,330.60",,-2.12%,,,,-2.25%,11
5/6/2019,"1,372.30","1,383.60","1,383.60","1,346.10",,-0.82%,,,,-4.19%,10
5/3/2019,"1,383.60","1,370.60","1,384.30","1,370.60",,0.95%,,,,-3.18%,9
5/2/2019,"1,370.60","1,378.00","1,387.10","1,363.40",,-0.54%,,,,0.40%,8
5/1/2019,"1,378.00","1,381.80","1,398.50","1,377.90",,-0.27%,,,,-5.33%,7
4/30/2019,"1,381.80","1,378.80","1,383.00","1,370.70",,0.21%,,,,0.79%,6
4/29/2019,"1,378.80","1,378.90","1,383.10","1,377.30",,-0.01%,,,,5.70%,5
4/26/2019,"1,378.90","1,383.80","1,383.80","1,364.20",,-0.35%,,,,-3.79%,4
4/25/2019,"1,383.80","1,383.80","1,394.40","1,376.70",,0.00%,,,,4.28%,3
4/24/2019,"1,383.80","1,383.90","1,390.40","1,382.20",,-0.01%,,,,-3.21%,2
4/23/2019,"1,383.90","1,368.50","1,385.10","1,368.50",,1.13%,,,,-2.03%,1
4/22/2019,"1,368.50","1,365.40","1,369.00","1,358.10",,0.23%,,,,,
