Date,Price,Open,High,Low,Vol.,Change %,,,,,Date,Price,Change %,Helper,Event Time
8/1/2019,941.7,955.65,965.33,938.09,328.54M,-1.30%,,,,,12/18/2019,972.81,0.00%,71,-23
7/31/2019,954.09,965.54,965.82,945.43,292.58M,-1.18%,,,,,12/19/2019,976.28,0.36%,70,-22
7/30/2019,965.48,965.45,968.46,963.33,228.96M,-0.69%,,,,,12/20/2019,977.43,0.12%,69,-21
7/29/2019,972.17,975.3,975.3,967.76,205.53M,-0.58%,,,,,12/23/2019,976.16,-0.13%,68,-20
7/26/2019,977.85,974.98,978.8,971.96,232.42M,0.22%,,,,,12/24/2019,977.43,0.13%,67,-19
7/25/2019,975.69,979.12,981.56,974.81,306.28M,-0.63%,,,,,12/26/2019,991.42,1.43%,66,-18
7/24/2019,981.91,971.5,982.05,971.5,232.98M,0.54%,,,,,12/27/2019,991.94,0.05%,65,-17
7/23/2019,976.68,975.29,976.89,969.17,267.71M,0.58%,,,,,12/30/2019,984.82,-0.72%,64,-16
7/22/2019,971.08,971.72,973.04,966.49,202.64M,0.16%,,,,,12/31/2019,986.29,0.15%,63,-15
7/19/2019,969.52,979.45,980.76,969.3,209.74M,-0.70%,,,,,1/2/2020,999.01,1.29%,62,-14
7/18/2019,976.38,974.84,977.96,968.89,207.69M,-0.22%,,,,,1/3/2020,990.5,-0.85%,61,-13
7/17/2019,978.51,986.51,987.24,978.49,185.63M,-0.90%,,,,,1/6/2020,994.12,0.37%,60,-12
7/16/2019,987.4,986.16,990.11,984.37,188.96M,-0.18%,,,,,1/7/2020,992.87,-0.13%,59,-11
7/15/2019,989.17,988.35,989.49,983.7,176.96M,0.34%,,,,,1/8/2020,994.37,0.15%,58,-10
7/12/2019,985.83,978.28,986.17,978.28,189.29M,1.06%,,,,,1/9/2020,999.92,0.56%,57,-9
7/11/2019,975.46,977.65,979.63,973.36,170.55M,0.16%,,,,,1/10/2020,994.48,-0.54%,56,-8
7/10/2019,973.86,973.19,975.58,969.21,188.24M,0.39%,,,,,1/13/2020,997.67,0.32%,55,-7
7/9/2019,970.09,963.32,970.91,962.8,191.05M,0.33%,,,,,1/14/2020,996.51,-0.12%,54,-6
7/8/2019,966.92,962.16,967.69,961.23,170.92M,0.19%,,,,,1/15/2020,993.95,-0.26%,53,-5
7/5/2019,965.13,959.55,966.22,956.98,144.78M,0.12%,,,,,1/16/2020,"1,002.85",0.90%,52,-4
7/3/2019,964.02,957.73,964.02,957.73,119.23M,0.75%,,,,,1/17/2020,"1,005.68",0.28%,51,-3
7/2/2019,956.88,953.44,956.89,948.99,181.69M,0.32%,,,,,1/21/2020,"1,003.97",-0.17%,50,-2
7/1/2019,953.84,955.15,961.26,949.94,230.41M,0.87%,,,,,1/22/2020,"1,002.92",-0.10%,49,-1
6/28/2019,945.58,944.73,947.44,943.21,291.52M,0.25%,,,,,1/23/2020,"1,004.12",0.12%,48,0
6/27/2019,943.24,939.83,944.48,939.42,213.24M,0.59%,,,,,1/24/2020,990.75,-1.33%,47,1
6/26/2019,937.7,937.44,940.77,936.46,207.35M,0.41%,,,,,1/27/2020,975.64,-1.53%,46,2
6/25/2019,933.85,945.38,946.15,932.54,243.50M,-1.07%,,,,,1/28/2020,985.22,0.98%,45,3
6/24/2019,943.98,948.42,949.87,943.43,203.76M,-0.51%,,,,,1/29/2020,984.65,-0.06%,44,4
6/21/2019,948.84,951.77,954.08,948.2,315.52M,-0.36%,,,,,1/30/2020,983.92,-0.07%,43,5
6/20/2019,952.29,952.71,955.22,945.29,215.21M,0.66%,,,,,1/31/2020,992.01,0.82%,42,6
6/19/2019,946.09,945.38,947.91,939.37,201.08M,0.24%,,,,,2/3/2020,997.96,0.60%,41,7
6/18/2019,943.84,942.9,950.4,942.49,210.05M,0.75%,,,,,2/4/2020,"1,015.54",1.76%,40,8
