Date,Price,Open,High,Low,Vol.,Change %,,,,Date,Price,Change %,Fake Time ,,Helper 
8/19/2019,"2,923.65","2,913.48","2,931.00","2,913.48",,1.21%,,,,1/30/2020,"3,283.66",0.31%,417,,120
8/16/2019,"2,888.68","2,864.74","2,893.63","2,864.74",,1.44%,,,,1/31/2020,"3,225.52",-1.77%,418,,119
8/15/2019,"2,847.60","2,846.20","2,856.67","2,825.51",,0.25%,,,,2/3/2020,"3,248.92",0.73%,419,,118
8/14/2019,"2,840.60","2,894.15","2,894.15","2,839.64",,-2.93%,,,,2/4/2020,"3,297.59",1.50%,420,,117
8/13/2019,"2,926.32","2,880.72","2,943.31","2,877.05",,1.48%,,,,2/5/2020,"3,334.69",1.13%,421,,116
8/12/2019,"2,883.75","2,907.07","2,907.58","2,873.14",,-1.20%,,,,2/6/2020,"3,345.78",0.33%,422,,115
8/9/2019,"2,918.65","2,930.51","2,935.75","2,900.15",,-0.66%,,,,2/7/2020,"3,327.71",-0.54%,423,,114
8/8/2019,"2,938.09","2,896.21","2,938.72","2,894.47",,1.88%,,,,2/10/2020,"3,352.09",0.73%,424,,113
8/7/2019,"2,883.98","2,858.65","2,892.17","2,825.71",,0.08%,,,,2/11/2020,"3,357.75",0.17%,425,,112
8/6/2019,"2,881.77","2,861.18","2,884.40","2,847.42",,1.30%,,,,2/12/2020,"3,379.45",0.65%,426,,111
8/5/2019,"2,844.74","2,898.07","2,898.07","2,822.12",,-2.98%,,,,2/13/2020,"3,373.94",-0.16%,427,,110
8/2/2019,"2,932.05","2,943.90","2,945.50","2,914.11",,-0.73%,,,,2/14/2020,"3,380.16",0.18%,428,,109
8/1/2019,"2,953.56","2,980.32","3,013.59","2,945.23",,-0.90%,,,,2/18/2020,"3,370.29",-0.29%,429,,108
