Date,Price,Open,High,Low,Vol.,Change %,,,Date,Price,Change %,Helper
7/25/2019,369.95,371.4,371.5,366.29,86.63M,-0.78%,,,12/26/2019,385.48,0.41%,49
7/24/2019,372.84,371.73,373.4,371.04,74.33M,-0.02%,,,12/27/2019,384.5,-0.25%,48
7/23/2019,372.92,366.52,372.95,366.52,64.99M,1.99%,,,12/30/2019,382.97,-0.40%,47
7/22/2019,365.66,367.06,367.66,364.93,62.46M,-0.25%,,,12/31/2019,385.85,0.75%,46
7/19/2019,366.59,366.02,368.29,366.02,89.11M,0.25%,,,1/2/2020,381.07,-1.24%,45
7/18/2019,365.68,363.92,365.94,362.77,66.70M,0.43%,,,1/3/2020,374.88,-1.62%,44
7/17/2019,364.12,367.59,367.63,364.1,74.96M,-0.88%,,,1/6/2020,373.19,-0.45%,43
7/16/2019,367.37,366.87,370.44,366.71,79.94M,0.19%,,,1/7/2020,372.41,-0.21%,42
7/15/2019,366.68,365.96,366.68,364.71,63.75M,0.17%,,,1/8/2020,374.25,0.49%,41
7/12/2019,366.04,363.13,366.12,363.13,63.11M,1.02%,,,1/9/2020,375.48,0.33%,40
7/11/2019,362.33,360.59,362.36,359.02,77.37M,0.43%,,,1/10/2020,373.89,-0.42%,39
7/10/2019,360.78,363.25,364.39,360.36,65.43M,-0.19%,,,1/13/2020,378.97,1.36%,38
7/9/2019,361.46,364.15,364.28,360.75,94.32M,-1.01%,,,1/14/2020,377.51,-0.39%,37
7/8/2019,365.16,368.24,368.65,364.51,76.47M,-1.06%,,,1/15/2020,379.93,0.64%,36
7/5/2019,369.06,367.95,369.29,365.87,57.66M,-0.53%,,,1/16/2020,382.12,0.58%,35
7/3/2019,371.02,369.41,371.02,368.31,43.22M,0.51%,,,1/17/2020,383.98,0.49%,34
7/2/2019,369.15,369.43,369.43,366.99,83.72M,-0.14%,,,1/21/2020,379.89,-1.07%,33
7/1/2019,369.66,368.37,369.66,366.63,110.74M,0.69%,,,1/22/2020,378.4,-0.39%,32
6/28/2019,367.14,364.48,367.25,364.02,136.18M,0.86%,,,1/23/2020,377.88,-0.14%,31
6/27/2019,364.02,362.7,364.64,362.7,73.68M,0.35%,,,1/24/2020,375.28,-0.69%,30
6/26/2019,362.76,363.37,364.43,362.33,85.07M,-0.18%,,,1/27/2020,367.4,-2.10%,29
