Date,Price,Open,High,Low,Vol.,Change %,,,,,Change %,Helper
8/29/2019,"1,045.00","1,042.51","1,047.29","1,038.54",141.94M,0.77%,,,,,0.19%,91
8/28/2019,"1,037.01","1,027.35","1,038.99","1,024.94",152.03M,0.71%,,,,,1.04%,90
8/27/2019,"1,029.73","1,039.77","1,045.26","1,028.91",193.37M,-0.55%,,,,,1.16%,89
8/26/2019,"1,035.41","1,030.04","1,036.23","1,028.84",151.62M,0.97%,,,,,0.78%,88
8/23/2019,"1,025.47","1,047.48","1,051.71","1,020.64",205.56M,-2.32%,,,,,-0.13%,87
8/22/2019,"1,049.81","1,056.57","1,059.17","1,045.90",141.95M,-0.49%,,,,,0.17%,86
8/21/2019,"1,054.96","1,051.89","1,057.54","1,051.89",137.78M,0.75%,,,,,-0.35%,85
8/20/2019,"1,047.12","1,056.54","1,058.62","1,046.68",159.84M,-0.86%,,,,,-0.89%,84
8/19/2019,"1,056.18","1,052.31","1,058.82","1,052.28",157.69M,0.99%,,,,,0.56%,83
8/16/2019,"1,045.86","1,037.53","1,048.67","1,037.53",169.48M,1.19%,,,,,0.14%,82
8/15/2019,"1,033.52","1,032.54","1,037.30","1,026.93",179.98M,0.35%,,,,,0.80%,81
8/14/2019,"1,029.94","1,053.08","1,053.08","1,029.52",219.12M,-2.83%,,,,,-0.41%,80
8/13/2019,"1,059.98","1,044.88","1,065.13","1,044.88",187.99M,1.31%,,,,,0.58%,79
8/12/2019,"1,046.29","1,054.55","1,056.31","1,042.29",149.87M,-1.02%,,,,,0.11%,78
8/9/2019,"1,057.12","1,054.45","1,063.21","1,047.71",187.68M,0.18%,,,,,-0.07%,77
8/8/2019,"1,055.21","1,042.42","1,056.21","1,042.42",179.85M,1.38%,,,,,2.21%,76
8/7/2019,"1,040.86","1,036.98","1,044.13","1,019.87",222.30M,-0.03%,,,,,-0.38%,75
8/6/2019,"1,041.18","1,031.77","1,041.21","1,027.32",219.70M,1.27%,,,,,0.65%,74
8/5/2019,"1,028.13","1,046.37","1,046.37","1,019.54",239.20M,-2.34%,,,,,-0.09%,73
8/2/2019,"1,052.76","1,054.34","1,056.57","1,045.73",190.81M,-0.22%,,,,,0.22%,72
8/1/2019,"1,055.10","1,054.70","1,066.17","1,048.81",253.53M,0.10%,,,,,0.40%,71
7/31/2019,"1,054.04","1,064.03","1,067.91","1,048.16",254.51M,-0.99%,,,,,1.07%,70
7/30/2019,"1,064.57","1,062.46","1,065.16","1,057.62",260.10M,-0.43%,,,,,-0.07%,69
7/29/2019,"1,069.15","1,064.47","1,070.02","1,064.22",264.52M,0.41%,,,,,0.48%,68
7/26/2019,"1,064.81","1,062.80","1,066.79","1,060.99",177.65M,0.42%,,,,,-0.35%,67
7/25/2019,"1,060.39","1,063.41","1,067.47","1,058.81",207.68M,-0.55%,,,,,-0.44%,66
7/24/2019,"1,066.28","1,065.69","1,066.29","1,054.61",186.87M,0.03%,,,,,-0.21%,65
7/23/2019,"1,065.93","1,060.24","1,067.39","1,056.68",172.83M,0.62%,,,,,0.91%,64
7/22/2019,"1,059.39","1,062.87","1,063.29","1,058.53",154.26M,-0.15%,,,,,0.03%,63
7/19/2019,"1,061.01","1,074.22","1,074.55","1,060.89",174.74M,-1.06%,,,,,0.62%,62
7/18/2019,"1,072.41","1,066.62","1,074.26","1,061.70",159.80M,0.54%,,,,,-0.68%,61
7/17/2019,"1,066.60","1,068.89","1,071.88","1,066.59",167.62M,0.02%,,,,,0.15%,60
7/16/2019,"1,066.40","1,070.79","1,072.14","1,065.88",159.60M,-0.50%,,,,,0.17%,59
7/15/2019,"1,071.79","1,071.35","1,074.12","1,066.64",163.93M,0.21%,,,,,0.88%,58
7/12/2019,"1,069.57","1,079.00","1,079.00","1,062.10",222.97M,-1.18%,,,,,-0.11%,57
7/11/2019,"1,082.31","1,087.73","1,089.35","1,074.88",255.58M,0.02%,,,,,1.08%,56
7/10/2019,"1,082.10","1,080.59","1,084.76","1,077.53",141.05M,0.36%,,,,,-0.09%,55
7/9/2019,"1,078.19","1,074.63","1,079.25","1,073.71",148.84M,0.11%,,,,,0.12%,54
7/8/2019,"1,077.00","1,081.68","1,081.91","1,072.26",163.58M,-0.75%,,,,,0.39%,53
7/5/2019,"1,085.09","1,089.19","1,090.59","1,083.00",129.07M,-0.73%,,,,,0.78%,52
7/3/2019,"1,093.05","1,085.99","1,093.06","1,085.99",103.99M,0.91%,,,,,0.33%,51
7/2/2019,"1,083.21","1,079.48","1,083.22","1,073.06",154.36M,0.43%,,,,,-0.10%,50
7/1/2019,"1,078.60","1,079.47","1,081.46","1,073.82",190.39M,0.57%,,,,,-0.12%,49
6/28/2019,"1,072.47","1,069.70","1,073.61","1,063.77",342.09M,0.37%,,,,,0.06%,48
6/27/2019,"1,068.53","1,064.39","1,071.24","1,064.39",179.01M,0.62%,,,,,-0.66%,47
6/26/2019,"1,061.90","1,076.93","1,076.93","1,059.87",248.37M,-1.25%,,,,,0.30%,46
6/25/2019,"1,075.31","1,080.52","1,085.42","1,074.66",307.04M,-0.41%,,,,,0.19%,45
6/24/2019,"1,079.75","1,083.20","1,085.08","1,077.93",187.94M,-0.50%,,,,,-0.85%,44
6/21/2019,"1,085.15","1,079.95","1,087.56","1,073.57",271.28M,0.44%,,,,,0.59%,43
6/20/2019,"1,080.43","1,081.77","1,087.69","1,074.35",179.54M,0.40%,,,,,-0.24%,42
6/19/2019,"1,076.10","1,066.02","1,078.08","1,065.88",165.80M,0.96%,,,,,0.64%,41
6/18/2019,"1,065.90","1,062.11","1,069.72","1,060.53",169.89M,0.82%,,,,,0.47%,40
6/17/2019,"1,057.19","1,052.89","1,057.66","1,052.02",128.25M,0.47%,,,,,0.04%,39
6/14/2019,"1,052.28","1,055.82","1,058.06","1,051.49",,-0.29%,,,,,-0.35%,38
6/13/2019,"1,055.35","1,057.37","1,057.83","1,051.46",,-0.11%,,,,,0.55%,37
6/12/2019,"1,056.56","1,051.71","1,056.95","1,051.54",,0.51%,,,,,0.85%,36
6/11/2019,"1,051.17","1,057.61","1,061.51","1,049.43",,-0.25%,,,,,0.52%,35
6/10/2019,"1,053.78","1,051.41","1,057.04","1,050.06",,0.31%,,,,,0.06%,34
6/7/2019,"1,050.52","1,041.86","1,052.99","1,041.86",,1.28%,,,,,0.04%,33
6/6/2019,"1,037.29","1,035.30","1,043.84","1,033.79",,0.32%,,,,,0.12%,32
6/5/2019,"1,034.02","1,032.26","1,036.77","1,029.79",,0.67%,,,,,-0.50%,31
6/4/2019,"1,027.09","1,016.37","1,028.36","1,016.37",,1.69%,,,,,-1.68%,30
6/3/2019,"1,010.07","1,008.61","1,018.58","1,008.13",,0.30%,,,,,-0.76%,29
5/31/2019,"1,007.00","1,008.99","1,012.10","1,001.67",,-0.78%,,,,,0.48%,28
5/30/2019,"1,014.93","1,010.52","1,016.52","1,010.25",,0.52%,,,,,-0.28%,27
5/29/2019,"1,009.65","1,014.60","1,014.60","1,002.37",,-0.95%,,,,,-0.78%,26
5/28/2019,"1,019.38","1,034.23","1,041.06","1,019.20",,-1.41%,,,,,-1.99%,25
5/24/2019,"1,033.95","1,034.12","1,040.14","1,031.65",,0.12%,,,,,0.93%,24
5/23/2019,"1,032.68","1,033.23","1,033.43","1,024.71",,-0.37%,,,,,1.70%,23
5/22/2019,"1,036.50","1,029.32","1,038.97","1,027.26",,0.63%,,,,,1.97%,22
5/21/2019,"1,029.96","1,025.68","1,035.07","1,025.68",,0.82%,,,,,0.11%,21
5/20/2019,"1,021.56","1,018.89","1,024.39","1,013.99",,-0.04%,,,,,-0.81%,20
5/17/2019,"1,021.94","1,019.70","1,029.61","1,016.55",,-0.17%,,,,,0.51%,19
5/16/2019,"1,023.65","1,018.02","1,032.60","1,017.93",,0.75%,,,,,0.62%,18
5/15/2019,"1,016.01","1,008.21","1,019.71","1,004.10",,0.27%,,,,,0.14%,17
5/14/2019,"1,013.28","1,011.22","1,020.30","1,011.22",,0.41%,,,,,-0.54%,16
5/13/2019,"1,009.16","1,018.16","1,018.16","1,004.50",,-1.74%,,,,,0.13%,15
5/10/2019,"1,027.08","1,026.64","1,030.22","1,005.98",,-0.07%,,,,,-0.37%,14
5/9/2019,"1,027.78","1,024.62","1,030.55","1,015.58",,-0.21%,,,,,0.45%,13
5/8/2019,"1,029.92","1,028.52","1,034.86","1,022.00",,0.12%,,,,,-0.62%,12
5/7/2019,"1,028.70","1,044.22","1,044.79","1,022.00",,-1.95%,,,,,0.03%,11
5/6/2019,"1,049.13","1,037.47","1,050.69","1,028.44",,0.58%,,,,,-3.26%,10
5/3/2019,"1,043.06","1,038.32","1,043.16","1,036.19",,0.76%,,,,,-2.95%,9
5/2/2019,"1,035.18","1,029.28","1,035.54","1,023.78",,0.47%,,,,,-0.10%,8
5/1/2019,"1,030.29","1,032.80","1,037.65","1,024.86",,-0.30%,,,,,-3.33%,7
4/30/2019,"1,033.35","1,030.31","1,034.42","1,023.78",,0.54%,,,,,-1.41%,6
4/29/2019,"1,027.85","1,029.50","1,031.46","1,023.40",,-0.21%,,,,,4.83%,5
4/26/2019,"1,030.02","1,021.65","1,030.02","1,018.71",,0.96%,,,,,-2.54%,4
4/25/2019,"1,020.19","1,007.25","1,022.26","1,003.07",,1.13%,,,,,5.81%,3
4/24/2019,"1,008.77","1,010.58","1,012.53","1,004.69",,-0.14%,,,,,-2.40%,2
4/23/2019,"1,010.15",994.37,"1,015.26",992.41,,1.60%,,,,,-0.52%,1
